,Date_reported, Country, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths,population in millions,new deaths per million ,target
1359,2020-06-29,Germany,262.0,193761.0,4.0,8961.0,83.02,0.0481811611659841,1.0
1360,2020-06-30,Germany,498.0,194259.0,12.0,8973.0,83.02,0.14454348349795232,1.0
1361,2020-07-01,Germany,466.0,194725.0,12.0,8985.0,83.02,0.14454348349795232,1.0
1362,2020-07-02,Germany,503.0,195228.0,9.0,8994.0,83.02,0.10840761262346423,1.0
1363,2020-07-03,Germany,446.0,195674.0,9.0,9003.0,83.02,0.10840761262346423,1.0
1364,2020-07-04,Germany,422.0,196096.0,7.0,9010.0,83.02,0.08431703204047218,1.0
1365,2020-07-05,Germany,239.0,196335.0,2.0,9012.0,83.02,0.02409058058299205,1.0
1366,2020-07-06,Germany,219.0,196554.0,4.0,9016.0,83.02,0.0481811611659841,1.0
1367,2020-07-07,Germany,390.0,196944.0,8.0,9024.0,83.02,0.0963623223319682,1.0
1368,2020-07-08,Germany,397.0,197341.0,12.0,9036.0,83.02,0.14454348349795232,1.0
1369,2020-07-09,Germany,442.0,197783.0,12.0,9048.0,83.02,0.14454348349795232,1.0
1370,2020-07-10,Germany,395.0,198178.0,6.0,9054.0,83.02,0.07227174174897616,1.0
1371,2020-07-11,Germany,378.0,198556.0,6.0,9060.0,83.02,0.07227174174897616,1.0
1372,2020-07-12,Germany,248.0,198804.0,3.0,9063.0,83.02,0.03613587087448808,1.0
1373,2020-07-13,Germany,159.0,198963.0,1.0,9064.0,83.02,0.012045290291496025,1.0
1374,2020-07-14,Germany,412.0,199375.0,4.0,9068.0,83.02,0.0481811611659841,1.0
1375,2020-07-15,Germany,351.0,199726.0,3.0,9071.0,83.02,0.03613587087448808,1.0
1376,2020-07-16,Germany,534.0,200260.0,7.0,9078.0,83.02,0.08431703204047218,1.0
1377,2020-07-17,Germany,583.0,200843.0,4.0,9082.0,83.02,0.0481811611659841,1.0
1378,2020-07-18,Germany,529.0,201372.0,1.0,9083.0,83.02,0.012045290291496025,1.0
1379,2020-07-19,Germany,202.0,201574.0,1.0,9084.0,83.02,0.012045290291496025,1.0
1380,2020-07-20,Germany,249.0,201823.0,2.0,9086.0,83.02,0.02409058058299205,1.0
