Entity,Code,Year,Continent,Date,Daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned),Daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned) Annotations,Weekly death growth (%),Weekly death growth (%) Annotations
Abkhazia,OWID_ABK,2015,Asia,,,,,
Laos,LAO,,,2020-05-23,0,,,
Laos,LAO,,,2020-05-24,0,,,
Laos,LAO,,,2020-05-25,0,,,
Laos,LAO,,,2020-05-26,0,,,
Laos,LAO,,,2020-05-27,0,,,
Laos,LAO,,,2020-05-28,0,,,
Laos,LAO,,,2020-05-29,0,,,
Laos,LAO,,,2020-05-30,0,,,
Laos,LAO,,,2020-05-31,0,,,
Laos,LAO,,,2020-06-01,0,,,
Laos,LAO,,,2020-06-02,0,,,
Laos,LAO,,,2020-06-03,0,,,
Laos,LAO,,,2020-06-04,0,,,
Laos,LAO,,,2020-06-05,0,,,
Laos,LAO,,,2020-06-06,0,,,
Laos,LAO,,,2020-06-07,0,,,
Laos,LAO,,,2020-06-08,0,,,
Laos,LAO,,,2020-06-09,0,,,
Laos,LAO,,,2020-06-10,0,,,
Laos,LAO,,,2020-06-11,0,,,
Laos,LAO,,,2020-06-12,0,,,
Laos,LAO,,,2020-06-13,0,,,
Laos,LAO,,,2020-06-14,0,,,
Laos,LAO,,,2020-06-15,0,,,
Laos,LAO,,,2020-06-16,0,,,
Laos,LAO,,,2020-06-17,0,,,
Laos,LAO,,,2020-06-18,0,,,
Laos,LAO,,,2020-06-19,0,,,
Laos,LAO,,,2020-06-20,0,,,
Laos,LAO,,,2020-06-21,0,,,
Laos,LAO,,,2020-06-22,0,,,
Laos,LAO,,,2020-06-23,0,,,
Laos,LAO,,,2020-06-24,0,,,
Laos,LAO,,,2020-06-25,0,,,
Laos,LAO,,,2020-06-26,0,,,
Laos,LAO,,,2020-06-27,0,,,
Laos,LAO,,,2020-06-28,0,,,
Laos,LAO,,,2020-06-29,0,,,
Laos,LAO,,,2020-06-30,0,,,
Laos,LAO,,,2020-07-01,0,,,
Laos,LAO,,,2020-07-02,0,,,
Laos,LAO,,,2020-07-03,0,,,
Laos,LAO,,,2020-07-04,0,,,
Laos,LAO,,,2020-07-05,0,,,
Laos,LAO,,,2020-07-06,0,,,
Laos,LAO,,,2020-07-07,0,,,
Laos,LAO,,,2020-07-08,0,,,
